pdb_id,closest_mhc
6rpb,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '3hg1', '6tmo', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
6rsy,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
5ivx,"['2ckb', '1mwa', '1g6r']"
2ypl,['8f5a']
5e6i,['7n6e']
5euo,"['1qse', '1ao7', '7n1e', '6vrn', '2f54', '1qrn']"
5brz,['5bs0']
6zkw,['6zky']
7n2o,"['8cx4', '7n2q', '7n2s']"
6tro,"['6vrm', '5d2n', '6vqo']"
6vrm,"['6tro', '5d2n', '6vqo']"
3gsn,"['1qse', '1ao7', '7n1e', '6vrn', '5euo', '2f54', '1qrn']"
3e3q,"['3tjh', '3e2h', '2oi9']"
8wul,"['5wkf', '8wte', '5wkh']"
1kj2,['2ol3']
6rpa,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '3hg1', '6tmo', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
5e9d,['4eup']
7qpj,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '3hg1', '6tmo', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
4n5e,"['4mvb', '4mxq']"
7rm4,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
8f5a,['2ypl']
5jhd,['5yxu']
8dnt,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
7ndq,['7ndu']
6l9l,"['3e3q', '3tjh', '3e2h', '2oi9']"
3tfk,"['4mvb', '4n5e', '4mxq']"
5eu6,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '3hg1', '6tmo', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
3tjh,"['3e3q', '3e2h', '2oi9']"
1mi5,"['3sjv', '3ffc']"
5d2n,"['6tro', '6vrm', '6vqo']"
